h,k,hk,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.0428571428571428,0.0385714285714285
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,accuracy_first,0.9,0.05,0.05,0.238095238095238,0.1386598595727627
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,accuracy_first,0.9,0.05,0.05,0.2904761904761905,0.1815100579720742
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,accuracy_first,0.9,0.05,0.05,0.2523809523809524,0.1430574878818913
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,accuracy_first,0.9,0.05,0.05,0.2095238095238095,0.1081139373097837
2,2,h2/k2,210,897020.6333333333,351.1115380952381,0.1375664921428571,1.0,1.0,accuracy_first,0.9,0.05,0.05,0.2809523809523809,0.1528571428571429
2,5,h2/k5,210,883059.0238095238,304.7138904761905,0.1350000121428571,0.9821898733049969,0.8404833011650663,accuracy_first,0.9,0.05,0.05,0.2857142857142857,0.1660091984193539
2,10,h2/k10,210,884474.3952380952,306.79329047619046,0.1350145664285714,0.9839953918177696,0.8476323494590834,accuracy_first,0.9,0.05,0.05,0.2761904761904762,0.1569900415075859
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,accuracy_first,0.9,0.05,0.05,0.0952380952380952,0.0749084085876184
5,2,h5/k2,210,813980.819047619,304.36559047619045,0.1250395614285714,0.894070263844869,0.8392858338568012,accuracy_first,0.9,0.05,0.05,0.2666666666666666,0.1533321951149164
5,5,h5/k5,210,876820.4,317.8417666666666,0.1341116678571428,0.9742315730631372,0.8856173883457876,accuracy_first,0.9,0.05,0.05,0.3142857142857143,0.1898646947866966
5,10,h5/k10,210,884927.2047619048,307.0932619047619,0.1351529685714285,0.9845730182707944,0.8486636614864387,accuracy_first,0.9,0.05,0.05,0.2428571428571428,0.1269095945835669
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,accuracy_first,0.9,0.05,0.05,0.0904761904761904,0.0804352015196502
10,2,h10/k2,210,705463.2619047619,268.48401904761903,0.1083804821428571,0.7556398459155772,0.715923764505987,accuracy_first,0.9,0.05,0.05,0.238095238095238,0.140707533764636
10,5,h10/k5,210,811797.2095238095,292.22658095238097,0.1241994078571428,0.8912847424330904,0.7975515040851132,accuracy_first,0.9,0.05,0.05,0.2523809523809524,0.1427010448169469
10,10,h10/k10,210,823853.4476190476,297.9932476190476,0.1259040457142857,0.9066642821326598,0.8173775012455916,accuracy_first,0.9,0.05,0.05,0.2904761904761905,0.1752264822596588
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.0428571428571428,0.0321428571428571
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,balanced_efficiency,0.75,0.125,0.125,0.238095238095238,-0.0104932082109502
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,balanced_efficiency,0.75,0.125,0.125,0.2904761904761905,0.0180608592158998
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,balanced_efficiency,0.75,0.125,0.125,0.2523809523809524,-0.0209277088667002
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,balanced_efficiency,0.75,0.125,0.125,0.2095238095238095,-0.0440008710112549
2,2,h2/k2,210,897020.6333333333,351.1115380952381,0.1375664921428571,1.0,1.0,balanced_efficiency,0.75,0.125,0.125,0.2809523809523809,-0.0392857142857142
2,5,h2/k5,210,883059.0238095238,304.7138904761905,0.1350000121428571,0.9821898733049969,0.8404833011650663,balanced_efficiency,0.75,0.125,0.125,0.2857142857142857,-0.0135484325230436
2,10,h2/k10,210,884474.3952380952,306.79329047619046,0.1350145664285714,0.9839953918177696,0.8476323494590834,balanced_efficiency,0.75,0.125,0.125,0.2761904761904762,-0.0218106105167494
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,balanced_efficiency,0.75,0.125,0.125,0.0952380952380952,0.0444138786119031
5,2,h5/k2,210,813980.819047619,304.36559047619045,0.1250395614285714,0.894070263844869,0.8392858338568012,balanced_efficiency,0.75,0.125,0.125,0.2666666666666666,-0.0166695122127087
5,5,h5/k5,210,876820.4,317.8417666666666,0.1341116678571428,0.9742315730631372,0.8856173883457876,balanced_efficiency,0.75,0.125,0.125,0.3142857142857143,0.00323316553817
5,10,h5/k10,210,884927.2047619048,307.0932619047619,0.1351529685714285,0.9845730182707944,0.8486636614864387,balanced_efficiency,0.75,0.125,0.125,0.2428571428571428,-0.0470117278267969
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,balanced_efficiency,0.75,0.125,0.125,0.0904761904761904,0.0653737180848397
10,2,h10/k2,210,705463.2619047619,268.48401904761903,0.1083804821428571,0.7556398459155772,0.715923764505987,balanced_efficiency,0.75,0.125,0.125,0.238095238095238,-0.0053740227312669
10,5,h10/k5,210,811797.2095238095,292.22658095238097,0.1241994078571428,0.8912847424330904,0.7975515040851132,balanced_efficiency,0.75,0.125,0.125,0.2523809523809524,-0.0218188165290611
10,10,h10/k10,210,823853.4476190476,297.9932476190476,0.1259040457142857,0.9066642821326598,0.8173775012455916,balanced_efficiency,0.75,0.125,0.125,0.2904761904761905,0.0023519199348614
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.0428571428571428,0.0342857142857142
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.1037434257142857,0.7177108604743758,0.7948062337846549,cost_sensitive,0.8,0.15,0.05,0.238095238095238,0.0430792497158013
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.1184928414285714,0.844009658929955,0.7543606101999893,cost_sensitive,0.8,0.15,0.05,0.2904761904761905,0.0680614730314596
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.1241018435714285,0.8919177017219609,0.7897896834973557,cost_sensitive,0.8,0.15,0.05,0.2523809523809524,0.0286276224715999
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,cost_sensitive,0.8,0.15,0.05,0.2095238095238095,0.0043144827694935
2,2,h2/k2,210,897020.6333333333,351.1115380952381,0.1375664921428571,1.0,1.0,cost_sensitive,0.8,0.15,0.05,0.2809523809523809,0.0247619047619047
2,5,h2/k5,210,883059.0238095238,304.7138904761905,0.1350000121428571,0.9821898733049969,0.8404833011650663,cost_sensitive,0.8,0.15,0.05,0.2857142857142857,0.0392187825174257
2,10,h2/k10,210,884474.3952380952,306.79329047619046,0.1350145664285714,0.9839953918177696,0.8476323494590834,cost_sensitive,0.8,0.15,0.05,0.2761904761904762,0.0309714547067613
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,cost_sensitive,0.8,0.15,0.05,0.0952380952380952,0.052336395325355
5,2,h5/k2,210,813980.819047619,304.36559047619045,0.1250395614285714,0.894070263844869,0.8392858338568012,cost_sensitive,0.8,0.15,0.05,0.2666666666666666,0.0372585020637629
5,5,h5/k5,210,876820.4,317.8417666666666,0.1341116678571428,0.9742315730631372,0.8856173883457876,cost_sensitive,0.8,0.15,0.05,0.3142857142857143,0.0610129660518114
5,10,h5/k10,210,884927.2047619048,307.0932619047619,0.1351529685714285,0.9845730182707944,0.8486636614864387,cost_sensitive,0.8,0.15,0.05,0.2428571428571428,0.0041665784707731
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,cost_sensitive,0.8,0.15,0.05,0.0904761904761904,0.0704047682834844
10,2,h10/k2,210,705463.2619047619,268.48401904761903,0.1083804821428571,0.7556398459155772,0.715923764505987,cost_sensitive,0.8,0.15,0.05,0.238095238095238,0.0413340253635545
10,5,h10/k5,210,811797.2095238095,292.22658095238097,0.1241994078571428,0.8912847424330904,0.7975515040851132,cost_sensitive,0.8,0.15,0.05,0.2523809523809524,0.0283344753355427
10,10,h10/k10,210,823853.4476190476,297.9932476190476,0.1259040457142857,0.9066642821326598,0.8173775012455916,cost_sensitive,0.8,0.15,0.05,0.2904761904761905,0.0555124349987738
