h,k,hk,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility,h_label
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.0428571428571428,0.0385714285714285,H_P=0
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,accuracy_first,0.9,0.05,0.05,0.2095238095238095,0.1081139373097837,H_P=2
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,accuracy_first,0.9,0.05,0.05,0.0952380952380952,0.0749084085876184,H_P=5
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,accuracy_first,0.9,0.05,0.05,0.0904761904761904,0.0804352015196502,H_P=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.0428571428571428,0.0321428571428571,H_P=0
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,balanced_efficiency,0.75,0.125,0.125,0.2095238095238095,-0.0440008710112549,H_P=2
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,balanced_efficiency,0.75,0.125,0.125,0.0952380952380952,0.0444138786119031,H_P=5
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,balanced_efficiency,0.75,0.125,0.125,0.0904761904761904,0.0653737180848397,H_P=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.0428571428571428,0.0342857142857142,H_P=0
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,cost_sensitive,0.8,0.15,0.05,0.2095238095238095,0.0043144827694935,H_P=2
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,cost_sensitive,0.8,0.15,0.05,0.0952380952380952,0.052336395325355,H_P=5
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,cost_sensitive,0.8,0.15,0.05,0.0904761904761904,0.0704047682834844,H_P=10
0,0,h0/k0,210,113106.52857142856,60.24764761904762,0.0173725071428571,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.0428571428571428,0.0342857142857142,H_P=0
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.1172935042857142,0.8284707358790925,0.7806790893538046,time_sensitive,0.8,0.05,0.15,0.2095238095238095,0.0090936474220223,H_P=2
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.0330459335714285,0.130482037384538,0.0856355051488081,time_sensitive,0.8,0.05,0.15,0.0952380952380952,0.056821048548928,H_P=5
10,0,h10/k0,210,120810.9476190476,63.167704761904766,0.0185306278571428,0.0098281418854672,0.0100392562929573,time_sensitive,0.8,0.05,0.15,0.0904761904761904,0.0703836568427354,H_P=10
