h,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility,h_label
0,840,593966.930952381,230.32714642857144,0.0909276544642857,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.2059523809523809,0.1853571428571428,H_P=0
2,840,856777.619047619,312.484430952381,0.13121864375,1.0,1.0,accuracy_first,0.9,0.05,0.05,0.2630952380952381,0.1367857142857143,H_P=2
5,840,697780.4154761905,253.61413571428577,0.1068375328571428,0.3950124147393477,0.2834439991619443,accuracy_first,0.9,0.05,0.05,0.2297619047619047,0.1728628935906496,H_P=5
10,840,615481.2166666667,230.46788809523812,0.0942536408928571,0.0818622936160392,0.0017130759309102,accuracy_first,0.9,0.05,0.05,0.2178571428571428,0.1918926600940811,H_P=10
0,840,593966.930952381,230.32714642857144,0.0909276544642857,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.2059523809523809,0.1544642857142857,H_P=0
2,840,856777.619047619,312.484430952381,0.13121864375,1.0,1.0,balanced_efficiency,0.75,0.125,0.125,0.2630952380952381,-0.0526785714285714,H_P=2
5,840,697780.4154761905,253.61413571428577,0.1068375328571428,0.3950124147393477,0.2834439991619443,balanced_efficiency,0.75,0.125,0.125,0.2297619047619047,0.087514376833767,H_P=5
10,840,615481.2166666667,230.46788809523812,0.0942536408928571,0.0818622936160392,0.0017130759309102,balanced_efficiency,0.75,0.125,0.125,0.2178571428571428,0.1529459359494884,H_P=10
0,840,593966.930952381,230.32714642857144,0.0909276544642857,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.2059523809523809,0.1647619047619047,H_P=0
2,840,856777.619047619,312.484430952381,0.13121864375,1.0,1.0,cost_sensitive,0.8,0.15,0.05,0.2630952380952381,0.0104761904761904,H_P=2
5,840,697780.4154761905,253.61413571428577,0.1068375328571428,0.3950124147393477,0.2834439991619443,cost_sensitive,0.8,0.15,0.05,0.2297619047619047,0.1103854616405244,H_P=5
10,840,615481.2166666667,230.46788809523812,0.0942536408928571,0.0818622936160392,0.0017130759309102,cost_sensitive,0.8,0.15,0.05,0.2178571428571428,0.1619207164467629,H_P=10
0,840,593966.930952381,230.32714642857144,0.0909276544642857,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.2059523809523809,0.1647619047619047,H_P=0
2,840,856777.619047619,312.484430952381,0.13121864375,1.0,1.0,time_sensitive,0.8,0.05,0.15,0.2630952380952381,0.0104761904761905,H_P=2
5,840,697780.4154761905,253.61413571428577,0.1068375328571428,0.3950124147393477,0.2834439991619443,time_sensitive,0.8,0.05,0.15,0.2297619047619047,0.1215423031982647,H_P=5
10,840,615481.2166666667,230.46788809523812,0.0942536408928571,0.0818622936160392,0.0017130759309102,time_sensitive,0.8,0.05,0.15,0.2178571428571428,0.1699356382152758,H_P=10
