k,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility,k_label
0,840,302966.7845238095,123.97257023809524,0.0465606432142857,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.1095238095238095,0.0985714285714285,k=0
2,840,773048.7273809523,303.8473071428572,0.1186824903571428,0.8571563095089857,1.0,accuracy_first,0.9,0.05,0.05,0.2559523809523809,0.1374993273816935,k=2
5,840,836603.5595238095,298.6115369047619,0.1279509823214285,0.9730433930245288,0.9708921312231444,accuracy_first,0.9,0.05,0.05,0.2857142857142857,0.1599460809304734,k=5
10,840,851387.1107142858,300.4621869047619,0.1300433560714285,1.0,0.9811806799757122,accuracy_first,0.9,0.05,0.05,0.2654761904761905,0.1398695374297858,k=10
0,840,302966.7845238095,123.97257023809524,0.0465606432142857,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.1095238095238095,0.0821428571428571,k=0
2,840,773048.7273809523,303.8473071428572,0.1186824903571428,0.8571563095089857,1.0,balanced_efficiency,0.75,0.125,0.125,0.2559523809523809,-0.0401802529743375,k=2
5,840,836603.5595238095,298.6115369047619,0.1279509823214285,0.9730433930245288,0.9708921312231444,balanced_efficiency,0.75,0.125,0.125,0.2857142857142857,-0.0287062262452448,k=5
10,840,851387.1107142858,300.4621869047619,0.1300433560714285,1.0,0.9811806799757122,balanced_efficiency,0.75,0.125,0.125,0.2654761904761905,-0.0485404421398211,k=10
0,840,302966.7845238095,123.97257023809524,0.0465606432142857,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.1095238095238095,0.0876190476190476,k=0
2,840,773048.7273809523,303.8473071428572,0.1186824903571428,0.8571563095089857,1.0,cost_sensitive,0.8,0.15,0.05,0.2559523809523809,0.0261884583355569,k=2
5,840,836603.5595238095,298.6115369047619,0.1279509823214285,0.9730433930245288,0.9708921312231444,cost_sensitive,0.8,0.15,0.05,0.2857142857142857,0.034070313056592,k=5
10,840,851387.1107142858,300.4621869047619,0.1300433560714285,1.0,0.9811806799757122,cost_sensitive,0.8,0.15,0.05,0.2654761904761905,0.0133219183821667,k=10
0,840,302966.7845238095,123.97257023809524,0.0465606432142857,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.1095238095238095,0.0876190476190476,k=0
2,840,773048.7273809523,303.8473071428572,0.1186824903571428,0.8571563095089857,1.0,time_sensitive,0.8,0.05,0.15,0.2559523809523809,0.0119040892864554,k=2
5,840,836603.5595238095,298.6115369047619,0.1279509823214285,0.9730433930245288,0.9708921312231444,time_sensitive,0.8,0.05,0.15,0.2857142857142857,0.0342854392367304,k=5
10,840,851387.1107142858,300.4621869047619,0.1300433560714285,1.0,0.9811806799757122,time_sensitive,0.8,0.05,0.15,0.2654761904761905,0.0152038503845955,k=10
