Ausprägung,Success Rate (%),Utility,Tokens Mittelwert,Kosten Mittelwert USD,Laufzeit Mittelwert s
h0/k0,4.285714285714286,0.038571428571428576,113106.52857142857,0.01737250714285714,60.24764761904762
h0/k2,23.809523809523807,0.13865985957276272,675730.1952380952,0.10374342571428571,291.4280809523809
h0/k5,29.04761904761905,0.18151005797207423,774737.6047619048,0.11849284142857142,279.66390952380954
h0/k10,25.238095238095237,0.14305748788189132,812293.3952380952,0.12410184357142856,289.96894761904764
h2/k0,20.952380952380953,0.10811393730978372,762556.4238095238,0.11729350428571428,287.31900476190475
h2/k2,28.095238095238095,0.1528571428571429,897020.6333333333,0.13756649214285713,351.1115380952381
h2/k5,28.57142857142857,0.16600919841935394,883059.0238095238,0.13500001214285715,304.7138904761905
h2/k10,27.61904761904762,0.15699004150758594,884474.3952380952,0.13501456642857143,306.79329047619046
h5/k0,9.523809523809524,0.07490840858761841,215393.2380952381,0.03304593357142857,85.1559238095238
h5/k2,26.666666666666668,0.15333219511491647,813980.819047619,0.12503956142857142,304.36559047619045
h5/k5,31.428571428571427,0.1898646947866966,876820.4,0.13411166785714285,317.8417666666666
h5/k10,24.285714285714285,0.12690959458356693,884927.2047619048,0.13515296857142856,307.0932619047619
h10/k0,9.047619047619047,0.0804352015196502,120810.94761904761,0.018530627857142858,63.167704761904766
h10/k2,23.809523809523807,0.14070753376463607,705463.2619047619,0.10838048214285714,268.48401904761903
h10/k5,25.238095238095237,0.14270104481694695,811797.2095238095,0.12419940785714285,292.22658095238097
h10/k10,29.04761904761905,0.17522648225965887,823853.4476190476,0.1259040457142857,297.9932476190476
