configuration,runs,tasks,treatments,success_rate,mean_tokens,median_tokens,mean_runtime_s,median_runtime_s,mean_planner_calls,mean_executor_calls,mean_runtime_replans,mean_cost_usd,Bedeutung,success_rate_pct,T_norm,runtime_norm,scenario,alpha,beta,gamma,utility,rank
"H_P=0, k=0",210,210,1,0.04285714285714286,113106.52857142857,107802.0,60.24764761904762,44.5525,1.519047619047619,3.2523809523809524,0.5190476190476191,0.01737250714285714,"Full-Horizon, keine planmaessige Pruefung",4.285714285714286,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.038571428571428576,4
"H_P=0, k>0",630,210,3,0.26031746031746034,754253.7317460318,460546.5,287.0203126984127,161.49349999999998,6.519047619047619,17.45873015873016,5.576190476190476,0.1154460369047619,Full-Horizon mit planmaessiger Pruefung,26.031746031746035,0.8791619798563399,0.9241800401785124,accuracy_first,0.9,0.05,0.05,0.14411861328397169,2
"H_P>0, k=0",630,210,3,0.13174603174603175,366253.5365079365,138400.5,145.2142111111111,56.786,5.26984126984127,8.665079365079364,1.4841269841269842,0.0562900219047619,begrenzter Planungshorizont ohne planmaessige Pruefung,13.174603174603176,0.34712344308793636,0.3462692561929528,accuracy_first,0.9,0.05,0.05,0.08390179360738412,3
"H_P>0, k>0",1890,210,9,0.27195767195767195,842377.3772486772,600713.0,305.6247984126984,222.1885,7.483068783068783,19.3973544973545,6.304232804232805,0.12892991158730158,begrenzter Planungshorizont mit planmaessiger Pruefung,27.195767195767196,1.0,1.0,accuracy_first,0.9,0.05,0.05,0.14476190476190476,1
"H_P=0, k=0",210,210,1,0.04285714285714286,113106.52857142857,107802.0,60.24764761904762,44.5525,1.519047619047619,3.2523809523809524,0.5190476190476191,0.01737250714285714,"Full-Horizon, keine planmaessige Pruefung",4.285714285714286,0.0,0.0,balanced_efficiency,0.75,0.125,0.125,0.03214285714285714,1
"H_P=0, k>0",630,210,3,0.26031746031746034,754253.7317460318,460546.5,287.0203126984127,161.49349999999998,6.519047619047619,17.45873015873016,5.576190476190476,0.1154460369047619,Full-Horizon mit planmaessiger Pruefung,26.031746031746035,0.8791619798563399,0.9241800401785124,balanced_efficiency,0.75,0.125,0.125,-0.030179657266261276,3
"H_P>0, k=0",630,210,3,0.13174603174603175,366253.5365079365,138400.5,145.2142111111111,56.786,5.26984126984127,8.665079365079364,1.4841269841269842,0.0562900219047619,begrenzter Planungshorizont ohne planmaessige Pruefung,13.174603174603176,0.34712344308793636,0.3462692561929528,balanced_efficiency,0.75,0.125,0.125,0.012135436399412676,2
"H_P>0, k>0",1890,210,9,0.27195767195767195,842377.3772486772,600713.0,305.6247984126984,222.1885,7.483068783068783,19.3973544973545,6.304232804232805,0.12892991158730158,begrenzter Planungshorizont mit planmaessiger Pruefung,27.195767195767196,1.0,1.0,balanced_efficiency,0.75,0.125,0.125,-0.046031746031746035,4
"H_P=0, k=0",210,210,1,0.04285714285714286,113106.52857142857,107802.0,60.24764761904762,44.5525,1.519047619047619,3.2523809523809524,0.5190476190476191,0.01737250714285714,"Full-Horizon, keine planmaessige Pruefung",4.285714285714286,0.0,0.0,cost_sensitive,0.8,0.15,0.05,0.03428571428571429,2
"H_P=0, k>0",630,210,3,0.26031746031746034,754253.7317460318,460546.5,287.0203126984127,161.49349999999998,6.519047619047619,17.45873015873016,5.576190476190476,0.1154460369047619,Full-Horizon mit planmaessiger Pruefung,26.031746031746035,0.8791619798563399,0.9241800401785124,cost_sensitive,0.8,0.15,0.05,0.030170669266591663,3
"H_P>0, k=0",630,210,3,0.13174603174603175,366253.5365079365,138400.5,145.2142111111111,56.786,5.26984126984127,8.665079365079364,1.4841269841269842,0.0562900219047619,begrenzter Planungshorizont ohne planmaessige Pruefung,13.174603174603176,0.34712344308793636,0.3462692561929528,cost_sensitive,0.8,0.15,0.05,0.03601484612398731,1
"H_P>0, k>0",1890,210,9,0.27195767195767195,842377.3772486772,600713.0,305.6247984126984,222.1885,7.483068783068783,19.3973544973545,6.304232804232805,0.12892991158730158,begrenzter Planungshorizont mit planmaessiger Pruefung,27.195767195767196,1.0,1.0,cost_sensitive,0.8,0.15,0.05,0.017566137566137577,4
"H_P=0, k=0",210,210,1,0.04285714285714286,113106.52857142857,107802.0,60.24764761904762,44.5525,1.519047619047619,3.2523809523809524,0.5190476190476191,0.01737250714285714,"Full-Horizon, keine planmaessige Pruefung",4.285714285714286,0.0,0.0,time_sensitive,0.8,0.05,0.15,0.03428571428571429,2
"H_P=0, k>0",630,210,3,0.26031746031746034,754253.7317460318,460546.5,287.0203126984127,161.49349999999998,6.519047619047619,17.45873015873016,5.576190476190476,0.1154460369047619,Full-Horizon mit planmaessiger Pruefung,26.031746031746035,0.8791619798563399,0.9241800401785124,time_sensitive,0.8,0.05,0.15,0.025668863234374423,3
"H_P>0, k=0",630,210,3,0.13174603174603175,366253.5365079365,138400.5,145.2142111111111,56.786,5.26984126984127,8.665079365079364,1.4841269841269842,0.0562900219047619,begrenzter Planungshorizont ohne planmaessige Pruefung,13.174603174603176,0.34712344308793636,0.3462692561929528,time_sensitive,0.8,0.05,0.15,0.03610026481348567,1
"H_P>0, k>0",1890,210,9,0.27195767195767195,842377.3772486772,600713.0,305.6247984126984,222.1885,7.483068783068783,19.3973544973545,6.304232804232805,0.12892991158730158,begrenzter Planungshorizont mit planmaessiger Pruefung,27.195767195767196,1.0,1.0,time_sensitive,0.8,0.05,0.15,0.01756613756613759,4
