hk,bad_route_or_not_found,gitlab_invite_multi_user_incomplete,gitlab_mr_reply_ambiguous_assignment,llm_json_or_action_parse_failure,loop_or_no_progress,missing_action_not_allowed,missing_required_mutation,missing_retrieved_data,official_eval_mismatch,planner_call_budget_exhausted,schema_or_value_mismatch,official_success,step_budget_exhausted
h0/k0,0,0,3,0,2,3,0,0,44,0,1,3,1
h0/k2,0,3,3,2,2,2,3,2,0,3,2,11,24
h0/k5,1,3,3,2,1,2,4,2,1,2,2,14,20
h0/k10,1,1,3,2,1,3,5,1,0,3,2,11,24
h2/k0,0,1,3,4,1,3,4,2,8,1,2,11,17
h2/k2,0,2,3,3,2,3,3,0,0,2,1,13,25
h2/k5,2,0,3,0,0,3,6,1,1,1,1,14,25
h2/k10,1,0,3,1,0,3,5,0,2,0,1,15,26
h5/k0,0,3,3,1,2,3,3,1,22,0,2,9,8
h5/k2,0,3,3,2,1,2,5,1,1,2,2,16,19
h5/k5,1,3,3,1,2,3,3,1,1,2,1,16,20
h5/k10,0,1,3,2,0,3,5,1,2,1,2,12,25
h10/k0,0,0,3,0,3,3,1,1,38,0,0,6,2
h10/k2,0,4,3,3,3,3,4,2,0,2,1,14,18
h10/k5,0,3,3,2,2,2,6,1,0,3,2,11,22
h10/k10,0,2,2,2,0,2,6,2,1,1,1,14,24
