hk,total_runs,bad_route_or_not_found,gitlab_invite_multi_user_incomplete,gitlab_mr_reply_ambiguous_assignment,llm_json_or_action_parse_failure,loop_or_no_progress,missing_action_not_allowed,missing_required_mutation,missing_retrieved_data,official_eval_mismatch,planner_call_budget_exhausted,schema_or_value_mismatch,official_success,step_budget_exhausted
h0/k0,57,0.0,0.0,5.263157894736842,0.0,3.508771929824561,5.263157894736842,0.0,0.0,77.19298245614034,0.0,1.7543859649122806,5.263157894736842,1.7543859649122806
h0/k2,57,0.0,5.263157894736842,5.263157894736842,3.508771929824561,3.508771929824561,3.508771929824561,5.263157894736842,3.508771929824561,0.0,5.263157894736842,3.508771929824561,19.298245614035086,42.10526315789473
h0/k5,57,1.7543859649122806,5.263157894736842,5.263157894736842,3.508771929824561,1.7543859649122806,3.508771929824561,7.017543859649122,3.508771929824561,1.7543859649122806,3.508771929824561,3.508771929824561,24.561403508771928,35.08771929824561
h0/k10,57,1.7543859649122806,1.7543859649122806,5.263157894736842,3.508771929824561,1.7543859649122806,5.263157894736842,8.771929824561402,1.7543859649122806,0.0,5.263157894736842,3.508771929824561,19.298245614035086,42.10526315789473
h2/k0,57,0.0,1.7543859649122806,5.263157894736842,7.017543859649122,1.7543859649122806,5.263157894736842,7.017543859649122,3.508771929824561,14.035087719298245,1.7543859649122806,3.508771929824561,19.298245614035086,29.82456140350877
h2/k2,57,0.0,3.508771929824561,5.263157894736842,5.263157894736842,3.508771929824561,5.263157894736842,5.263157894736842,0.0,0.0,3.508771929824561,1.7543859649122806,22.807017543859647,43.859649122807014
h2/k5,57,3.508771929824561,0.0,5.263157894736842,0.0,0.0,5.263157894736842,10.526315789473683,1.7543859649122806,1.7543859649122806,1.7543859649122806,1.7543859649122806,24.561403508771928,43.859649122807014
h2/k10,57,1.7543859649122806,0.0,5.263157894736842,1.7543859649122806,0.0,5.263157894736842,8.771929824561402,0.0,3.508771929824561,0.0,1.7543859649122806,26.31578947368421,45.614035087719294
h5/k0,57,0.0,5.263157894736842,5.263157894736842,1.7543859649122806,3.508771929824561,5.263157894736842,5.263157894736842,1.7543859649122806,38.59649122807017,0.0,3.508771929824561,15.789473684210526,14.035087719298245
h5/k2,57,0.0,5.263157894736842,5.263157894736842,3.508771929824561,1.7543859649122806,3.508771929824561,8.771929824561402,1.7543859649122806,1.7543859649122806,3.508771929824561,3.508771929824561,28.07017543859649,33.33333333333333
h5/k5,57,1.7543859649122806,5.263157894736842,5.263157894736842,1.7543859649122806,3.508771929824561,5.263157894736842,5.263157894736842,1.7543859649122806,1.7543859649122806,3.508771929824561,1.7543859649122806,28.07017543859649,35.08771929824561
h5/k10,57,0.0,1.7543859649122806,5.263157894736842,3.508771929824561,0.0,5.263157894736842,8.771929824561402,1.7543859649122806,3.508771929824561,1.7543859649122806,3.508771929824561,21.052631578947366,43.859649122807014
h10/k0,57,0.0,0.0,5.263157894736842,0.0,5.263157894736842,5.263157894736842,1.7543859649122806,1.7543859649122806,66.66666666666666,0.0,0.0,10.526315789473683,3.508771929824561
h10/k2,57,0.0,7.017543859649122,5.263157894736842,5.263157894736842,5.263157894736842,5.263157894736842,7.017543859649122,3.508771929824561,0.0,3.508771929824561,1.7543859649122806,24.561403508771928,31.57894736842105
h10/k5,57,0.0,5.263157894736842,5.263157894736842,3.508771929824561,3.508771929824561,3.508771929824561,10.526315789473683,1.7543859649122806,0.0,5.263157894736842,3.508771929824561,19.298245614035086,38.59649122807017
h10/k10,57,0.0,3.508771929824561,3.508771929824561,3.508771929824561,0.0,3.508771929824561,10.526315789473683,3.508771929824561,1.7543859649122806,1.7543859649122806,1.7543859649122806,24.561403508771928,42.10526315789473
