hk,total_runs,bad_route_or_not_found,gitlab_invite_multi_user_incomplete,gitlab_mr_reply_ambiguous_assignment,llm_json_or_action_parse_failure,loop_or_no_progress,missing_action_not_allowed,missing_required_mutation,missing_retrieved_data,official_eval_mismatch,planner_call_budget_exhausted,schema_or_value_mismatch,official_success,step_budget_exhausted
h0/k0,55,0.0,0.0,0.0,7.2727272727272725,3.6363636363636362,0.0,0.0,3.6363636363636362,76.36363636363637,0.0,5.454545454545454,1.8181818181818181,1.8181818181818181
h0/k2,55,0.0,0.0,0.0,12.727272727272727,1.8181818181818181,0.0,1.8181818181818181,3.6363636363636362,3.6363636363636362,5.454545454545454,5.454545454545454,12.727272727272727,52.72727272727272
h0/k5,55,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,5.454545454545454,7.2727272727272725,16.363636363636363,52.72727272727272
h0/k10,55,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,7.2727272727272725,10.909090909090908,58.18181818181818
h2/k0,55,0.0,0.0,0.0,18.181818181818183,0.0,0.0,1.8181818181818181,0.0,9.090909090909092,1.8181818181818181,9.090909090909092,12.727272727272727,47.27272727272727
h2/k2,55,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.454545454545454,23.636363636363637,50.90909090909091
h2/k5,55,1.8181818181818181,0.0,0.0,18.181818181818183,0.0,0.0,0.0,3.6363636363636362,0.0,0.0,5.454545454545454,14.545454545454545,56.36363636363636
h2/k10,55,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,5.454545454545454,12.727272727272727,63.63636363636363
h5/k0,55,0.0,0.0,0.0,14.545454545454545,0.0,0.0,0.0,5.454545454545454,41.81818181818181,0.0,9.090909090909092,9.090909090909092,20.0
h5/k2,55,0.0,0.0,0.0,18.181818181818183,0.0,0.0,1.8181818181818181,0.0,1.8181818181818181,3.6363636363636362,10.909090909090908,14.545454545454545,49.09090909090909
h5/k5,55,0.0,0.0,0.0,21.818181818181817,0.0,0.0,1.8181818181818181,1.8181818181818181,0.0,0.0,3.6363636363636362,12.727272727272727,58.18181818181818
h5/k10,55,0.0,0.0,0.0,21.818181818181817,0.0,0.0,3.6363636363636362,0.0,0.0,0.0,9.090909090909092,9.090909090909092,56.36363636363636
h10/k0,55,0.0,0.0,0.0,10.909090909090908,0.0,0.0,0.0,1.8181818181818181,67.27272727272727,0.0,7.2727272727272725,9.090909090909092,3.6363636363636362
h10/k2,55,0.0,0.0,0.0,14.545454545454545,1.8181818181818181,0.0,1.8181818181818181,0.0,1.8181818181818181,1.8181818181818181,7.2727272727272725,14.545454545454545,56.36363636363636
h10/k5,55,0.0,0.0,0.0,21.818181818181817,0.0,0.0,1.8181818181818181,0.0,0.0,3.6363636363636362,5.454545454545454,10.909090909090908,56.36363636363636
h10/k10,55,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,1.8181818181818181,20.0,58.18181818181818
