hk,total_runs,bad_route_or_not_found,gitlab_invite_multi_user_incomplete,gitlab_mr_reply_ambiguous_assignment,llm_json_or_action_parse_failure,loop_or_no_progress,missing_action_not_allowed,missing_required_mutation,missing_retrieved_data,official_eval_mismatch,planner_call_budget_exhausted,schema_or_value_mismatch,official_success,step_budget_exhausted
h0/k0,56,0.0,0.0,0.0,14.285714285714285,0.0,5.357142857142857,0.0,3.571428571428571,67.85714285714286,0.0,1.7857142857142856,7.142857142857142,0.0
h0/k2,56,0.0,0.0,0.0,25.0,5.357142857142857,3.571428571428571,1.7857142857142856,8.928571428571429,14.285714285714285,1.7857142857142856,1.7857142857142856,21.428571428571427,16.071428571428573
h0/k5,56,0.0,0.0,0.0,28.57142857142857,3.571428571428571,3.571428571428571,1.7857142857142856,5.357142857142857,7.142857142857142,1.7857142857142856,3.571428571428571,21.428571428571427,23.214285714285715
h0/k10,56,0.0,0.0,0.0,32.142857142857146,0.0,3.571428571428571,3.571428571428571,8.928571428571429,8.928571428571429,3.571428571428571,3.571428571428571,19.642857142857142,16.071428571428573
h2/k0,56,1.7857142857142856,0.0,0.0,23.214285714285715,0.0,1.7857142857142856,7.142857142857142,12.5,17.857142857142858,1.7857142857142856,5.357142857142857,12.5,16.071428571428573
h2/k2,56,0.0,0.0,0.0,28.57142857142857,5.357142857142857,3.571428571428571,5.357142857142857,12.5,5.357142857142857,0.0,3.571428571428571,17.857142857142858,17.857142857142858
h2/k5,56,0.0,0.0,0.0,26.785714285714285,3.571428571428571,0.0,5.357142857142857,7.142857142857142,7.142857142857142,0.0,1.7857142857142856,23.214285714285715,25.0
h2/k10,56,0.0,0.0,0.0,28.57142857142857,0.0,0.0,5.357142857142857,7.142857142857142,7.142857142857142,0.0,0.0,21.428571428571427,30.357142857142854
h5/k0,56,0.0,0.0,0.0,12.5,0.0,5.357142857142857,0.0,8.928571428571429,62.5,0.0,3.571428571428571,5.357142857142857,1.7857142857142856
h5/k2,56,0.0,0.0,0.0,23.214285714285715,8.928571428571429,3.571428571428571,1.7857142857142856,8.928571428571429,5.357142857142857,3.571428571428571,3.571428571428571,19.642857142857142,21.428571428571427
h5/k5,56,0.0,0.0,0.0,25.0,1.7857142857142856,3.571428571428571,3.571428571428571,5.357142857142857,7.142857142857142,0.0,1.7857142857142856,25.0,26.785714285714285
h5/k10,56,0.0,0.0,0.0,32.142857142857146,0.0,5.357142857142857,5.357142857142857,7.142857142857142,7.142857142857142,0.0,0.0,17.857142857142858,25.0
h10/k0,56,0.0,0.0,0.0,17.857142857142858,1.7857142857142856,5.357142857142857,0.0,1.7857142857142856,64.28571428571429,0.0,1.7857142857142856,7.142857142857142,0.0
h10/k2,56,0.0,0.0,0.0,23.214285714285715,7.142857142857142,5.357142857142857,3.571428571428571,12.5,7.142857142857142,1.7857142857142856,3.571428571428571,19.642857142857142,16.071428571428573
h10/k5,56,0.0,0.0,0.0,25.0,0.0,1.7857142857142856,5.357142857142857,7.142857142857142,8.928571428571429,3.571428571428571,7.142857142857142,19.642857142857142,21.428571428571427
h10/k10,56,0.0,0.0,0.0,32.142857142857146,0.0,1.7857142857142856,3.571428571428571,7.142857142857142,10.714285714285714,0.0,1.7857142857142856,17.857142857142858,25.0
