h,k,hk,runs,avg_tokens,avg_runtime_s,avg_cost_usd,T_norm,runtime_norm,scenario,alpha,beta,gamma,success_rate,utility
0,0,h0/k0,210,113106.52857142857,60.24764761904762,0.01737250714285714,0.0,0.0,accuracy_first,0.9,0.05,0.05,0.04285714285714286,0.038571428571428576
0,2,h0/k2,210,675730.1952380952,291.4280809523809,0.10374342571428571,0.7177108604743758,0.7948062337846549,accuracy_first,0.9,0.05,0.05,0.23809523809523808,0.13865985957276272
0,5,h0/k5,210,774737.6047619048,279.66390952380954,0.11849284142857142,0.844009658929955,0.7543606101999893,accuracy_first,0.9,0.05,0.05,0.2904761904761905,0.18151005797207423
0,10,h0/k10,210,812293.3952380952,289.96894761904764,0.12410184357142856,0.8919177017219609,0.7897896834973557,accuracy_first,0.9,0.05,0.05,0.2523809523809524,0.14305748788189132
2,0,h2/k0,210,762556.4238095238,287.31900476190475,0.11729350428571428,0.8284707358790925,0.7806790893538046,accuracy_first,0.9,0.05,0.05,0.20952380952380953,0.10811393730978372
2,2,h2/k2,210,897020.6333333333,351.1115380952381,0.13756649214285713,1.0,1.0,accuracy_first,0.9,0.05,0.05,0.28095238095238095,0.1528571428571429
2,5,h2/k5,210,883059.0238095238,304.7138904761905,0.13500001214285715,0.9821898733049969,0.8404833011650663,accuracy_first,0.9,0.05,0.05,0.2857142857142857,0.16600919841935394
2,10,h2/k10,210,884474.3952380952,306.79329047619046,0.13501456642857143,0.9839953918177697,0.8476323494590834,accuracy_first,0.9,0.05,0.05,0.2761904761904762,0.15699004150758594
5,0,h5/k0,210,215393.2380952381,85.1559238095238,0.03304593357142857,0.13048203738453806,0.08563550514880815,accuracy_first,0.9,0.05,0.05,0.09523809523809523,0.07490840858761841
5,2,h5/k2,210,813980.819047619,304.36559047619045,0.12503956142857142,0.894070263844869,0.8392858338568012,accuracy_first,0.9,0.05,0.05,0.26666666666666666,0.15333219511491647
5,5,h5/k5,210,876820.4,317.8417666666666,0.13411166785714285,0.9742315730631373,0.8856173883457876,accuracy_first,0.9,0.05,0.05,0.3142857142857143,0.1898646947866966
5,10,h5/k10,210,884927.2047619048,307.0932619047619,0.13515296857142856,0.9845730182707944,0.8486636614864387,accuracy_first,0.9,0.05,0.05,0.24285714285714285,0.12690959458356693
10,0,h10/k0,210,120810.94761904761,63.167704761904766,0.018530627857142858,0.009828141885467255,0.010039256292957328,accuracy_first,0.9,0.05,0.05,0.09047619047619047,0.0804352015196502
10,2,h10/k2,210,705463.2619047619,268.48401904761903,0.10838048214285714,0.7556398459155772,0.715923764505987,accuracy_first,0.9,0.05,0.05,0.23809523809523808,0.14070753376463607
10,5,h10/k5,210,811797.2095238095,292.22658095238097,0.12419940785714285,0.8912847424330904,0.7975515040851132,accuracy_first,0.9,0.05,0.05,0.2523809523809524,0.14270104481694695
10,10,h10/k10,210,823853.4476190476,297.9932476190476,0.1259040457142857,0.9066642821326598,0.8173775012455916,accuracy_first,0.9,0.05,0.05,0.2904761904761905,0.17522648225965887
