hk,runs,success_rate,avg_tokens,avg_runtime_s,h,k,avg_cost_usd,success_rate_pct
h0/k0,210,0.04285714285714286,113106.52857142857,60.24764761904762,0,0,0.01737250714285714,4.285714285714286
h0/k2,210,0.23809523809523808,675730.1952380952,291.4280809523809,0,2,0.10374342571428571,23.809523809523807
h0/k5,210,0.2904761904761905,774737.6047619048,279.66390952380954,0,5,0.11849284142857142,29.04761904761905
h0/k10,210,0.2523809523809524,812293.3952380952,289.96894761904764,0,10,0.12410184357142856,25.238095238095237
h2/k0,210,0.20952380952380953,762556.4238095238,287.31900476190475,2,0,0.11729350428571428,20.952380952380953
h2/k2,210,0.28095238095238095,897020.6333333333,351.1115380952381,2,2,0.13756649214285713,28.095238095238095
h2/k5,210,0.2857142857142857,883059.0238095238,304.7138904761905,2,5,0.13500001214285715,28.57142857142857
h2/k10,210,0.2761904761904762,884474.3952380952,306.79329047619046,2,10,0.13501456642857143,27.61904761904762
h5/k0,210,0.09523809523809523,215393.2380952381,85.1559238095238,5,0,0.03304593357142857,9.523809523809524
h5/k2,210,0.26666666666666666,813980.819047619,304.36559047619045,5,2,0.12503956142857142,26.666666666666668
h5/k5,210,0.3142857142857143,876820.4,317.8417666666666,5,5,0.13411166785714285,31.428571428571427
h5/k10,210,0.24285714285714285,884927.2047619048,307.0932619047619,5,10,0.13515296857142856,24.285714285714285
h10/k0,210,0.09047619047619047,120810.94761904761,63.167704761904766,10,0,0.018530627857142858,9.047619047619047
h10/k2,210,0.23809523809523808,705463.2619047619,268.48401904761903,10,2,0.10838048214285714,23.809523809523807
h10/k5,210,0.2523809523809524,811797.2095238095,292.22658095238097,10,5,0.12419940785714285,25.238095238095237
h10/k10,210,0.2904761904761905,823853.4476190476,297.9932476190476,10,10,0.1259040457142857,29.04761904761905
